"Configuration","Konfiguration"
"Username","Benutzername"
"Public Key","Öffentlicher Schlüssel"
"Private Key","Privater Schlüssel"
"Mage One QPS Rules","Mage One QPS Regeln"
"You can't create new rules, only edit existing ones.","Sie können keine neuen Regeln erstellen, nur existierende ändern."
"Identifier","ID"
"Validated URL pattern","Geprüftes URL Muster"
"Type","Typ"
"Name","Name"
"Rule Content","Regelinhalt"
"Target","Ziel"
"Preprocess","Aufbereitung"
"Fixing Patch","Schützender Patch"
"Auto-Enable New Rules","Neue Regeln automatisch aktivieren"
"Enable module","Modul aktivieren"
"Enable new Rules automatically. Rules will be updated every hour via our API. (We recommend to enable rules manually after intensive testing)","Neue Regeln automatisch aktivieren. Neue Regeln werden automatisch jede Stunde über die API abgeglichen. (Wir empfehlen, Regeln manuell nach intensiven Tests zu aktivieren)"
"Your <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a> username","Ihr <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a> Benutzername"
"Public key for encryption between API and store. This key can be copied from <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a>","Öffentlicher Schlüssel für die Verschlüsselung zwischen API und Ihrem Shop. Diesen Key erhalten Sie von <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a>"
"You can only enable and disable a rule.", "Sie können nur Regeln aktivieren und deaktivieren."
"Rule Information","Regel Informationen"
"Save Rule","Regel speichern"
"Edit Rule (ID: %s)","Regel bearbeiten (ID: %s)"
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"The rule has been saved.","Die Regel wurde gespeichert."
"Unable to save this rule.","Diese Regel konnte nicht gespeichert werden."
"You can't create new rules. You can only change the status of existing rules.","Es können keine neuen Regeln angelegt werden. Es ist lediglich möglich, den Status bestehender Regeln zu ändern."
"Load Rules", "Regeln laden"
"Reset Filter", "Filter zurücksetzen"
"Search", "Suchen"
"No records found.","Keine Einträge gefunden."
"Page","Seite"
"of %s pages","von %s Seiten"
"View","Zeige"
"per page","pro Seite"
"Total %d records found","Insgesamt %d Einträge gefunden"
"To load rules enable QPS first", "Um Regeln laden zu können, aktivieren Sie zuerst QPS"
"Disabled","Inaktiv"
"Enabled","Aktiv"
"Back", "Zurück"
"Reset","Zurücksetzen"
"Save and Continue Edit","Speichern und weiterbearbeiten"
"Quick Protection System Section","Mage One QPS"
